name,p_nom
DC25,1800
DC34,1800
DC35,1800
DC40,1800
DC40plus,1800
DC41,1800
DC42,1800
DC42plus,1800
DC1,1800
DC3,1800
DC4,1800
DC5,1800
DC20,1800
TYNDP2024_1229,3600
TYNDP2020_10,1800
TYNDP2020_22,1800
DC25-reversed,1800
DC34-reversed,1800
DC35-reversed,1800
DC40-reversed,1800
DC40plus-reversed,1800
DC41-reversed,1800
DC42-reversed,1800
DC42plus-reversed,1800
DC1-reversed,1800
DC3-reversed,1800
DC4-reversed,1800
DC5-reversed,1800
DC20-reversed,1800
TYNDP2024_1229-reversed,3600
TYNDP2020_10-reversed,1800
TYNDP2020_22-reversed,1800
