name,s_nom
11,16534.2
12,3396.2
15,3396.2
16,3396.2
18,0.0
19,5585.9
20,2189.7
21,1698.1
22,5094.3
23,4379.3
24,3396.2
25,8043.6
26,3396.2
27,2681.2
28,3887.8
29,0.0
3,6077.4
30,2189.7
31,4379.3
32,0.0
33,491.6
34,6792.4
35,3396.2
36,3396.2
37,7775.5
38,2189.7
39,5265.4
4,2949.3
40,983.1
41,4379.3
42,6792.4
43,12154.8
44,3396.2
45,9965.2
46,3396.2
47,11886.7
48,10188.6
49,1698.1
50,3396.2
51,6792.4
52,6077.4
53,7775.5
54,3887.8
56,3396.2
57,3396.2
58,1698.1
59,0.0
6,983.1
60,12869.8
61,4379.3
62,3396.2
63,4379.3
64,0.0
65,0.0
66,983.1
67,4379.3
68,0.0
69,2279.0
70,7284.0
71,3575.0
72,0.0
73,11171.7
74,5265.4
75,4379.3
76,3977.1
77,3932.4
78,12154.8
79,0.0
80,7149.9
83,3396.2
84,7775.5
85,0.0
86,3396.2
87,3396.2
88,5094.3
89,3396.2
90,7060.5
91,6792.4
92,6792.4
93,10188.6
94,5094.3
95,3396.2
96,0.0
