name,p_nom
DC25,1200
DC34,1200
DC35,1200
DC40,1200
DC40plus,1200
DC41,1200
DC42,1200
DC42plus,1200
DC1,1200
DC3,1200
DC4,1200
DC5,1200
DC20,1200
TYNDP2024_1229,2400
TYNDP2020_10,1200
TYNDP2020_22,1200
DC25-reversed,1200
DC34-reversed,1200
DC35-reversed,1200
DC40-reversed,1200
DC40plus-reversed,1200
DC41-reversed,1200
DC42-reversed,1200
DC42plus-reversed,1200
DC1-reversed,1200
DC3-reversed,1200
DC4-reversed,1200
DC5-reversed,1200
DC20-reversed,1200
TYNDP2024_1229-reversed,2400
TYNDP2020_10-reversed,1200
TYNDP2020_22-reversed,1200
