date,gas,gas_real2020
2023-01-01,75.07,64.383764
2023-01-02,75.07,64.383764
2023-01-03,76.002,65.183093
2023-01-04,71.271,61.125553
2023-01-05,65.691,56.339867
2023-01-06,65.295,56.000238
2023-01-07,68.798,59.004585
2023-01-08,68.798,59.004585
2023-01-09,70.128,60.145259
2023-01-10,70.552,60.508902
2023-01-11,69.916,59.963437
2023-01-12,65.544,56.213793
2023-01-13,66.558,57.083449
2023-01-14,64.389,55.223207
2023-01-15,64.389,55.223207
2023-01-16,64.979,55.729221
2023-01-17,56.957,48.849155
2023-01-18,58.271,49.976106
2023-01-19,62.372,53.493328
2023-01-20,61.57,52.805493
2023-01-21,65.823,56.453077
2023-01-22,65.823,56.453077
2023-01-23,65.466,56.146896
2023-01-24,67.507,57.897359
2023-01-25,60.934,52.260027
2023-01-26,58.145,49.868042
2023-01-27,57.92,49.675071
2023-01-28,55.769,47.830267
2023-01-29,55.769,47.830267
2023-01-30,55.758,47.820833
2023-01-31,57.268,49.115884
2023-02-01,58.695,50.33975
2023-02-02,60.095,51.540459
2023-02-03,57.697,49.483815
2023-02-04,59.203,50.775436
2023-02-05,59.203,50.775436
2023-02-06,59.758,51.251431
2023-02-07,59.277,50.838902
2023-02-08,57.909,49.665637
2023-02-09,55.175,47.320823
2023-02-10,54.968,47.143289
2023-02-11,54.689,46.904005
2023-02-12,54.689,46.904005
2023-02-13,54.956,47.132998
2023-02-14,53.14,45.575506
2023-02-15,53.85,46.184437
2023-02-16,54.898,47.083254
2023-02-17,52.756,45.246168
2023-02-18,49.544,42.491397
2023-02-19,49.544,42.491397
2023-02-20,49.711,42.634625
2023-02-21,51.208,43.918526
2023-02-22,49.328,42.306145
2023-02-23,50.838,43.601196
2023-02-24,50.897,43.651797
2023-02-25,52.472,45.002596
2023-02-26,52.472,45.002596
2023-02-27,52.905,45.373958
2023-02-28,50.379,43.207535
2023-03-01,48.697,41.764968
2023-03-02,49.078,42.091733
2023-03-03,48.631,41.708363
2023-03-04,46.787,40.126857
2023-03-05,46.787,40.126857
2023-03-06,47.071,40.37043
2023-03-07,44.385,38.066782
2023-03-08,44.885,38.495607
2023-03-09,44.803,38.42528
2023-03-10,43.608,37.400389
2023-03-11,51.233,43.939968
2023-03-12,51.233,43.939968
2023-03-13,50.524,43.331894
2023-03-14,51.727,44.363647
2023-03-15,46.55,39.923594
2023-03-16,44.191,37.900398
2023-03-17,44.213,37.919267
2023-03-18,43.703,37.481865
2023-03-19,43.703,37.481865
2023-03-20,43.701,37.48015
2023-03-21,40.64,34.854884
2023-03-22,41.077,35.229677
2023-03-23,40.927,35.10103
2023-03-24,42.89,36.784596
2023-03-25,42.182,36.17738
2023-03-26,42.182,36.17738
2023-03-27,42.704,36.625073
2023-03-28,43.826,37.587356
2023-03-29,43.549,37.349787
2023-03-30,43.293,37.130229
2023-03-31,43.431,37.248585
2023-04-01,47.442,40.688618
2023-04-02,47.442,40.688618
2023-04-03,48.196,41.335285
2023-04-04,51.915,44.524885
2023-04-05,50.002,42.884201
2023-04-06,47.821,41.013667
2023-04-07,44.682,38.321504
2023-04-08,44.682,38.321504
2023-04-09,44.682,38.321504
2023-04-10,44.682,38.321504
2023-04-11,44.62,38.26833
2023-04-12,44.561,38.217729
2023-04-13,44.885,38.495607
2023-04-14,43.891,37.643103
2023-04-15,42.52,36.467266
2023-04-16,42.52,36.467266
2023-04-17,42.63,36.561607
2023-04-18,43.014,36.890945
2023-04-19,43.667,37.45099
2023-04-20,42.964,36.848062
2023-04-21,42.054,36.067601
2023-04-22,41.392,35.499837
2023-04-23,41.392,35.499837
2023-04-24,41.498,35.590748
2023-04-25,40.5,34.734813
2023-04-26,40.797,34.989535
2023-04-27,39.868,34.192779
2023-04-28,39.643,33.999807
2023-04-29,39.677,34.028968
2023-04-30,39.677,34.028968
2023-05-01,39.677,34.028968
2023-05-02,39.951,34.263964
2023-05-03,38.663,33.159311
2023-05-04,37.265,31.960316
2023-05-05,36.219,31.063215
2023-05-06,36.068,30.93371
2023-05-07,36.068,30.93371
2023-05-08,36.068,30.93371
2023-05-09,36.322,31.151553
2023-05-10,36.709,31.483463
2023-05-11,35.959,30.840226
2023-05-12,35.004,30.02117
2023-05-13,33.43,28.67123
2023-05-14,33.43,28.67123
2023-05-15,33.497,28.728692
2023-05-16,32.632,27.986825
2023-05-17,32.536,27.904491
2023-05-18,32.597,27.956808
2023-05-19,30.587,26.232932
2023-05-20,29.651,25.430172
2023-05-21,29.651,25.430172
2023-05-22,30.194,25.895875
2023-05-23,29.68,25.455043
2023-05-24,30.021,25.747502
2023-05-25,29.135,24.987624
2023-05-26,26.461,22.694269
2023-05-27,24.484,20.998696
2023-05-28,24.484,20.998696
2023-05-29,24.484,20.998696
2023-05-30,24.79,21.261136
2023-05-31,25.309,21.706257
2023-06-01,26.726,22.921546
2023-06-02,24.135,20.699376
2023-06-03,23.712,20.33659
2023-06-04,23.712,20.33659
2023-06-05,23.817,20.426643
2023-06-06,27.892,23.921566
2023-06-07,26.335,22.586205
2023-06-08,26.296,22.552757
2023-06-09,27.54,23.619673
2023-06-10,30.669,26.303259
2023-06-11,30.669,26.303259
2023-06-12,30.781,26.399316
2023-06-13,30.533,26.186619
2023-06-14,33.174,28.451672
2023-06-15,37.237,31.936302
